instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
Acción GHI-0430,BVLIMA,2024-03,Derivados,0.0143,0.0740,0.0448,0.0507,0.0100,0.0228,0.0127,0.1056,0.1254,0.1249,0.0590,0.3058,128553,false
Bono Corporativo GHI-0431,MILA,2024-04,Estructurado,0.0669,0.0331,0.0714,0.0471,0.0743,0.0092,0.0746,0.0991,0.1155,0.1078,0.0289,0.2221,187952,false
ETF GHI-0432,BVC,2024-05,Dividendos,0.0602,0.0730,0.0646,0.0728,0.0669,0.0479,0.0815,0.0128,0.0473,0.0046,0.0468,0.3716,171509,true
Fondo Mutuo GHI-0433,COLCAP,2024-06,Intereses,0.0423,0.0190,0.0225,0.0263,0.0959,0.1001,0.1013,0.0871,0.0226,0.1180,0.1108,0.2041,96461,false
Bono Gobierno GHI-0434,BVLIMA,2024-07,Capital,0.0718,0.0031,0.0767,0.0110,0.0277,0.0412,0.0664,0.0159,0.1381,0.0154,0.1209,0.3618,42682,false
Acción Preferente GHI-0435,MILA,2024-08,Mixto,0.0524,0.0030,0.0007,0.0351,0.1024,0.1022,0.1068,0.1069,0.1023,0.0235,0.0612,0.2535,62886,true
Warrant GHI-0436,BVC,2024-09,Renta Fija,0.0467,0.0729,0.0620,0.0029,0.0579,0.0879,0.0364,0.1068,0.0475,0.1282,0.0980,0.2028,105699,false
ADR GHI-0437,COLCAP,2024-10,Renta Variable,0.0135,0.0663,0.0154,0.0193,0.0491,0.1004,0.0527,0.1230,0.1027,0.0046,0.1100,0.2930,114193,false
REIT GHI-0438,BVLIMA,2024-11,Derivados,0.0632,0.0454,0.0349,0.0430,0.0598,0.0746,0.0013,0.0810,0.0914,0.0242,0.0806,0.3506,34273,true
Fondo Indexado GHI-0439,MILA,2024-12,Estructurado,0.0403,0.0190,0.0425,0.0310,0.0365,0.0048,0.0742,0.0670,0.0563,0.0301,0.1191,0.4292,137020,false
Acción JKL-0440,BVC,2024-Q1,Dividendos,0.0049,0.0148,0.0769,0.0795,0.0202,0.0819,0.0232,0.1186,0.0328,0.0552,0.0262,0.4158,33850,false
Bono Corporativo JKL-0441,COLCAP,2024-Q2,Intereses,0.0725,0.0765,0.0297,0.0834,0.0040,0.0145,0.0332,0.0773,0.1303,0.0948,0.0168,0.3170,146464,true
ETF JKL-0442,BVLIMA,2024-Q3,Capital,0.0428,0.0706,0.0662,0.0290,0.0776,0.0050,0.0436,0.0225,0.0493,0.1197,0.0852,0.3385,47606,false
Fondo Mutuo JKL-0443,MILA,2024-Q4,Mixto,0.0511,0.0607,0.0752,0.0341,0.0051,0.0814,0.0977,0.0753,0.0480,0.0026,0.0198,0.3990,105138,false
Bono Gobierno JKL-0444,BVC,2023-Q1,Renta Fija,0.0066,0.0672,0.0590,0.0134,0.0541,0.0624,0.0274,0.0707,0.0989,0.1040,0.1221,0.2642,57869,true
Acción Preferente JKL-0445,COLCAP,2023-Q2,Renta Variable,0.0788,0.0283,0.0157,0.0362,0.0289,0.0881,0.0909,0.0991,0.0621,0.0118,0.0423,0.3678,67996,false
Warrant JKL-0446,BVLIMA,2023-Q3,Derivados,0.0440,0.0503,0.0248,0.0044,0.0570,0.0626,0.0699,0.0802,0.1111,0.0040,0.1444,0.2973,125100,false
ADR JKL-0447,MILA,2023-Q4,Estructurado,0.0263,0.0320,0.0817,0.0276,0.0336,0.0465,0.0136,0.1036,0.0159,0.0411,0.1169,0.4112,91664,true
REIT JKL-0448,BVC,2024-01,Dividendos,0.0377,0.0456,0.0799,0.0195,0.0003,0.0396,0.0467,0.1053,0.1402,0.0106,0.0050,0.4196,81329,false
Fondo Indexado JKL-0449,COLCAP,2024-02,Intereses,0.0333,0.0645,0.0236,0.0883,0.0576,0.0172,0.0749,0.0912,0.0241,0.1456,0.1266,0.2031,92735,false
Acción MNO-0450,BVLIMA,2024-03,Capital,0.0089,0.0580,0.0240,0.0426,0.0222,0.0191,0.1111,0.0771,0.0923,0.0126,0.1374,0.3447,164810,true
Bono Corporativo MNO-0451,MILA,2024-04,Mixto,0.0048,0.0665,0.0805,0.0560,0.0570,0.0897,0.0739,0.0791,0.0112,0.0848,0.0369,0.3096,198391,false
ETF MNO-0452,BVC,2024-05,Renta Fija,0.0355,0.0107,0.0123,0.0122,0.0134,0.0958,0.0285,0.1382,0.0089,0.0186,0.1401,0.4358,63983,false
Fondo Mutuo MNO-0453,COLCAP,2024-06,Renta Variable,0.0018,0.0361,0.0068,0.0821,0.0921,0.0688,0.0715,0.0107,0.0151,0.0100,0.1082,0.4468,19701,true
Bono Gobierno MNO-0454,BVLIMA,2024-07,Derivados,0.0697,0.0544,0.0549,0.0548,0.0117,0.0672,0.0748,0.0357,0.0369,0.0915,0.0340,0.3644,47648,false
Acción Preferente MNO-0455,MILA,2024-08,Estructurado,0.0377,0.0356,0.0226,0.0187,0.0185,0.0182,0.0554,0.0814,0.1446,0.1202,0.1353,0.2618,199096,false
Warrant MNO-0456,BVC,2024-09,Dividendos,0.0086,0.0703,0.0304,0.0112,0.0502,0.0324,0.1039,0.0530,0.0607,0.1233,0.0707,0.3353,180753,true
ADR MNO-0457,COLCAP,2024-10,Intereses,0.0788,0.0634,0.0099,0.0747,0.0303,0.0832,0.0676,0.0907,0.0642,0.1256,0.0156,0.2460,123728,false
REIT MNO-0458,BVLIMA,2024-11,Capital,0.0691,0.0215,0.0723,0.0357,0.0303,0.0105,0.0816,0.1237,0.0055,0.0963,0.0357,0.3678,81230,false
Fondo Indexado MNO-0459,MILA,2024-12,Mixto,0.0260,0.0616,0.0287,0.0056,0.0239,0.0604,0.1160,0.0041,0.0713,0.0145,0.0445,0.4934,135226,true
Acción PQR-0460,BVC,2024-Q1,Renta Fija,0.0207,0.0698,0.0337,0.0259,0.0653,0.0195,0.0846,0.0620,0.0708,0.1230,0.0161,0.3586,112315,false
Bono Corporativo PQR-0461,COLCAP,2024-Q2,Renta Variable,0.0715,0.0483,0.0256,0.0692,0.0350,0.0595,0.0225,0.1101,0.0127,0.1114,0.0430,0.3412,198552,false
ETF PQR-0462,BVLIMA,2024-Q3,Derivados,0.0092,0.0395,0.0165,0.0933,0.0491,0.0355,0.0585,0.1119,0.0741,0.1339,0.0007,0.3278,47938,true
Fondo Mutuo PQR-0463,MILA,2024-Q4,Estructurado,0.0014,0.0368,0.0415,0.0348,0.0563,0.1066,0.0748,0.0979,0.0966,0.0220,0.0800,0.3013,122308,false
Bono Gobierno PQR-0464,BVC,2023-Q1,Dividendos,0.0493,0.0728,0.0701,0.0635,0.0268,0.0206,0.0874,0.0809,0.0193,0.0382,0.0704,0.3507,181353,false
Acción Preferente PQR-0465,COLCAP,2023-Q2,Intereses,0.0234,0.0378,0.0022,0.0894,0.0017,0.0445,0.0300,0.0327,0.0893,0.0501,0.0393,0.5096,129101,true
Warrant PQR-0466,BVLIMA,2023-Q3,Capital,0.0533,0.0035,0.0766,0.0112,0.0924,0.0943,0.0476,0.1082,0.1073,0.0098,0.0541,0.2917,96290,false
ADR PQR-0467,MILA,2023-Q4,Mixto,0.0669,0.0764,0.0325,0.0085,0.0206,0.0229,0.0694,0.0713,0.1178,0.0602,0.0995,0.3040,42733,false
REIT PQR-0468,BVC,2024-01,Renta Fija,0.0492,0.0171,0.0790,0.0132,0.0185,0.0568,0.0987,0.1021,0.1242,0.0694,0.0748,0.2470,38772,true
Fondo Indexado PQR-0469,COLCAP,2024-02,Renta Variable,0.0788,0.0071,0.0735,0.0033,0.0250,0.0496,0.0235,0.0067,0.0743,0.1039,0.0760,0.4283,125353,false
Acción STU-0470,BVLIMA,2024-03,Derivados,0.0509,0.0362,0.0712,0.0093,0.0866,0.0667,0.0970,0.0666,0.0542,0.0628,0.0313,0.3172,134679,false
Bono Corporativo STU-0471,MILA,2024-04,Estructurado,0.0653,0.0715,0.0115,0.0173,0.0444,0.0304,0.0574,0.0471,0.0313,0.0670,0.1412,0.3656,58729,true
ETF STU-0472,BVC,2024-05,Dividendos,0.0424,0.0352,0.0653,0.0403,0.0891,0.0775,0.0916,0.0725,0.0705,0.1038,0.1259,0.1359,10349,false
Fondo Mutuo STU-0473,COLCAP,2024-06,Intereses,0.0223,0.0524,0.0265,0.0752,0.0734,0.0448,0.0334,0.0767,0.0029,0.1028,0.1462,0.2934,19209,false
Bono Gobierno STU-0474,BVLIMA,2024-07,Capital,0.0090,0.0182,0.0673,0.0100,0.0829,0.1072,0.0272,0.1087,0.0016,0.1474,0.0664,0.3041,137442,true
Acción Preferente STU-0475,MILA,2024-08,Mixto,0.0271,0.0094,0.0226,0.0405,0.0396,0.0816,0.0840,0.0251,0.0179,0.0019,0.0779,0.5224,43707,false
Warrant STU-0476,BVC,2024-09,Renta Fija,0.0536,0.0047,0.0653,0.0819,0.0510,0.0726,0.0629,0.0988,0.0901,0.0895,0.1173,0.1623,42171,false
ADR STU-0477,COLCAP,2024-10,Renta Variable,0.0074,0.0713,0.0212,0.0766,0.0516,0.1029,0.0538,0.0881,0.0104,0.1289,0.1365,0.2013,100284,true
REIT STU-0478,BVLIMA,2024-11,Derivados,0.0101,0.0706,0.0349,0.0445,0.0361,0.1052,0.0912,0.0849,0.0344,0.0939,0.0055,0.3387,56540,false
Fondo Indexado STU-0479,MILA,2024-12,Estructurado,0.0412,0.0396,0.0537,0.0179,0.0583,0.0770,0.0979,0.0842,0.0447,0.0985,0.0684,0.2686,35233,false
Acción VWX-0480,BVC,2024-Q1,Dividendos,0.0788,0.0666,0.0619,0.0493,0.0099,0.0245,0.0091,0.0900,0.1119,0.0327,0.1234,0.2919,103669,true
Bono Corporativo VWX-0481,COLCAP,2024-Q2,Intereses,0.0382,0.0265,0.0795,0.0242,0.0329,0.0007,0.0444,0.1279,0.1217,0.1378,0.1249,0.1913,102319,false
ETF VWX-0482,BVLIMA,2024-Q3,Capital,0.0745,0.0441,0.0353,0.0717,0.0884,0.0269,0.0214,0.0556,0.0806,0.0937,0.1096,0.2482,45421,false
Fondo Mutuo VWX-0483,MILA,2024-Q4,Mixto,0.0526,0.0371,0.0802,0.0223,0.0354,0.0450,0.0457,0.0989,0.0449,0.0778,0.0003,0.4098,106554,true
Bono Gobierno VWX-0484,BVC,2023-Q1,Renta Fija,0.0288,0.0837,0.0667,0.0444,0.0783,0.0338,0.0151,0.0295,0.1146,0.1279,0.1256,0.2016,96545,false
Acción Preferente VWX-0485,COLCAP,2023-Q2,Renta Variable,0.0647,0.0687,0.0435,0.0654,0.0604,0.0542,0.0436,0.1049,0.0641,0.0324,0.0977,0.2504,34851,false
Warrant VWX-0486,BVLIMA,2023-Q3,Derivados,0.0248,0.0228,0.0865,0.0255,0.0462,0.0846,0.1074,0.0273,0.0018,0.0458,0.1325,0.3448,40202,true
ADR VWX-0487,MILA,2023-Q4,Estructurado,0.0653,0.0509,0.0177,0.0324,0.0353,0.1025,0.0454,0.0261,0.0317,0.0325,0.1052,0.4050,122280,false
REIT VWX-0488,BVC,2024-01,Dividendos,0.0501,0.0530,0.0217,0.0715,0.0090,0.0613,0.0877,0.0933,0.1181,0.0347,0.0407,0.3089,157804,false
Fondo Indexado VWX-0489,COLCAP,2024-02,Intereses,0.0629,0.0424,0.0692,0.0748,0.0502,0.0771,0.0823,0.0801,0.0411,0.0496,0.0904,0.2299,92235,true
Acción YZA-0490,BVLIMA,2024-03,Capital,0.0057,0.0624,0.0846,0.0831,0.0530,0.0868,0.0331,0.0896,0.0410,0.0338,0.0970,0.2799,20803,false
Bono Corporativo YZA-0491,MILA,2024-04,Mixto,0.0328,0.0255,0.0146,0.0217,0.0388,0.0884,0.0894,0.0222,0.0636,0.0573,0.1294,0.3663,161914,false
ETF YZA-0492,BVC,2024-05,Renta Fija,0.0239,0.0144,0.0468,0.0314,0.0462,0.0230,0.1187,0.0238,0.0039,0.0060,0.0300,0.5819,172399,true
Fondo Mutuo YZA-0493,COLCAP,2024-06,Renta Variable,0.0242,0.0459,0.0815,0.0831,0.0618,0.0141,0.0980,0.0109,0.0095,0.0286,0.0319,0.4605,13708,false
Bono Gobierno YZA-0494,BVLIMA,2024-07,Derivados,0.0373,0.0423,0.0502,0.0654,0.0184,0.0221,0.1008,0.1078,0.0280,0.1317,0.0464,0.2996,105135,false
Acción Preferente YZA-0495,MILA,2024-08,Estructurado,0.0279,0.0084,0.0502,0.0864,0.0407,0.0555,0.0591,0.0999,0.1189,0.1287,0.0139,0.2604,174244,true
Warrant YZA-0496,BVC,2024-09,Dividendos,0.0109,0.0460,0.0444,0.0849,0.0258,0.0293,0.0505,0.0153,0.1382,0.0433,0.1301,0.3313,81601,false
ADR YZA-0497,COLCAP,2024-10,Intereses,0.0439,0.0342,0.0783,0.0755,0.0418,0.0642,0.0392,0.1113,0.0118,0.0402,0.0717,0.3379,173808,false
REIT YZA-0498,BVLIMA,2024-11,Capital,0.0139,0.0464,0.0165,0.0717,0.0715,0.0926,0.0582,0.0891,0.1212,0.0689,0.0786,0.2214,140061,true
Fondo Indexado YZA-0499,MILA,2024-12,Mixto,0.0786,0.0075,0.0354,0.0513,0.0425,0.0689,0.0395,0.0795,0.0570,0.1454,0.1329,0.2115,55976,false
Acción BCD-0500,BVC,2024-Q1,Renta Fija,0.0745,0.0586,0.0445,0.0573,0.0574,0.0303,0.0003,0.0372,0.1254,0.0732,0.0510,0.3403,165790,false
Bono Corporativo BCD-0501,COLCAP,2024-Q2,Renta Variable,0.0048,0.0358,0.0629,0.0410,0.0149,0.0287,0.0060,0.0961,0.1052,0.0884,0.0671,0.3991,21401,true
ETF BCD-0502,BVLIMA,2024-Q3,Derivados,0.0678,0.0744,0.0688,0.0696,0.0805,0.0679,0.0370,0.0963,0.0927,0.0852,0.0796,0.1302,197057,false
Fondo Mutuo BCD-0503,MILA,2024-Q4,Estructurado,0.0257,0.0806,0.0728,0.0619,0.0014,0.0988,0.0297,0.0302,0.1337,0.0806,0.1466,0.1880,63649,false
Bono Gobierno BCD-0504,BVC,2023-Q1,Dividendos,0.0197,0.0748,0.0675,0.0759,0.0580,0.0095,0.1062,0.0622,0.0588,0.1058,0.1224,0.1892,61195,true
Acción Preferente BCD-0505,COLCAP,2023-Q2,Intereses,0.0121,0.0369,0.0098,0.0487,0.0413,0.0820,0.1062,0.0570,0.0289,0.1173,0.0452,0.3646,120111,false
Warrant BCD-0506,BVLIMA,2023-Q3,Capital,0.0216,0.0487,0.0483,0.0110,0.0473,0.0412,0.0483,0.0388,0.0680,0.1317,0.1346,0.3105,75287,false
ADR BCD-0507,MILA,2023-Q4,Mixto,0.0099,0.0149,0.0878,0.0141,0.0823,0.0746,0.0076,0.0041,0.1306,0.0955,0.1090,0.3196,62384,true
REIT BCD-0508,BVC,2024-01,Renta Fija,0.0344,0.0519,0.0296,0.0702,0.0072,0.0570,0.0991,0.0835,0.0314,0.1156,0.0199,0.3502,65152,false
Fondo Indexado BCD-0509,COLCAP,2024-02,Renta Variable,0.0790,0.0201,0.0262,0.0255,0.0735,0.0616,0.0880,0.0664,0.0410,0.0553,0.0082,0.4052,183415,false
Acción EFG-0510,BVLIMA,2024-03,Derivados,0.0219,0.0509,0.0782,0.0098,0.0775,0.0981,0.0483,0.0169,0.1331,0.0398,0.1246,0.2509,60510,true
Bono Corporativo EFG-0511,MILA,2024-04,Estructurado,0.0070,0.0137,0.0387,0.0325,0.0293,0.0587,0.0510,0.0747,0.0230,0.1363,0.1413,0.3438,168600,false
ETF EFG-0512,BVC,2024-05,Dividendos,0.0414,0.0051,0.0891,0.0708,0.0039,0.0484,0.0625,0.0307,0.0115,0.0887,0.1426,0.3553,117336,false
Fondo Mutuo EFG-0513,COLCAP,2024-06,Intereses,0.0521,0.0434,0.0704,0.0847,0.0085,0.0680,0.0895,0.0366,0.0389,0.0860,0.0903,0.2816,182288,true
Bono Gobierno EFG-0514,BVLIMA,2024-07,Capital,0.0091,0.0035,0.0855,0.0428,0.0732,0.0732,0.0277,0.0580,0.0496,0.0147,0.0247,0.4880,21939,false
Acción Preferente EFG-0515,MILA,2024-08,Mixto,0.0574,0.0203,0.0590,0.0704,0.0817,0.0565,0.0293,0.0472,0.0792,0.0021,0.1316,0.3153,66444,false
Warrant EFG-0516,BVC,2024-09,Renta Fija,0.0211,0.0058,0.0582,0.0096,0.0192,0.1110,0.0047,0.0499,0.0088,0.0078,0.1438,0.5101,99917,true
ADR EFG-0517,COLCAP,2024-10,Renta Variable,0.0153,0.0138,0.0615,0.0244,0.0080,0.0780,0.0213,0.0022,0.0817,0.0434,0.0018,0.5986,166749,false
REIT EFG-0518,BVLIMA,2024-11,Derivados,0.0006,0.0794,0.0587,0.0493,0.0550,0.0813,0.0489,0.0537,0.1130,0.0810,0.0246,0.3045,178183,false
Fondo Indexado EFG-0519,MILA,2024-12,Estructurado,0.0544,0.0158,0.0787,0.0531,0.0047,0.0882,0.0345,0.0239,0.1199,0.0371,0.0788,0.3609,118123,true
Acción HIJ-0520,BVC,2024-Q1,Dividendos,0.0597,0.0063,0.0569,0.0002,0.0787,0.0795,0.0960,0.0644,0.0020,0.0436,0.0316,0.4311,166284,false
Bono Corporativo HIJ-0521,COLCAP,2024-Q2,Intereses,0.0715,0.0383,0.0287,0.0722,0.0761,0.0634,0.0645,0.0020,0.0434,0.1412,0.0236,0.3251,112959,false
ETF HIJ-0522,BVLIMA,2024-Q3,Capital,0.0205,0.0393,0.0378,0.0779,0.0161,0.0926,0.0284,0.0089,0.0451,0.0611,0.0336,0.4887,50657,true
Fondo Mutuo HIJ-0523,MILA,2024-Q4,Mixto,0.0207,0.0718,0.0057,0.0693,0.0032,0.0564,0.0089,0.0160,0.0443,0.0661,0.0327,0.5549,53855,false
Bono Gobierno HIJ-0524,BVC,2023-Q1,Renta Fija,0.0651,0.0457,0.0276,0.0856,0.0704,0.0235,0.0125,0.0190,0.1072,0.0659,0.0240,0.4035,61555,false
Acción Preferente HIJ-0525,COLCAP,2023-Q2,Renta Variable,0.0478,0.0678,0.0698,0.0810,0.0250,0.0593,0.0494,0.0035,0.0675,0.0266,0.0062,0.4461,90332,true
Warrant HIJ-0526,BVLIMA,2023-Q3,Derivados,0.0302,0.0093,0.0228,0.0410,0.0075,0.0188,0.1250,0.0237,0.0295,0.0508,0.0424,0.5490,79996,false
ADR HIJ-0527,MILA,2023-Q4,Estructurado,0.0253,0.0149,0.0202,0.0218,0.0991,0.0604,0.0214,0.0788,0.1242,0.1336,0.1331,0.2172,162042,false
REIT HIJ-0528,BVC,2024-01,Dividendos,0.0518,0.0507,0.0787,0.0266,0.0718,0.0886,0.0493,0.0785,0.0198,0.1386,0.0330,0.2626,156243,true
Fondo Indexado HIJ-0529,COLCAP,2024-02,Intereses,0.0348,0.0773,0.0703,0.0236,0.0227,0.0451,0.0170,0.0206,0.1103,0.0590,0.0495,0.4198,114149,false
Acción KLM-0530,BVLIMA,2024-03,Capital,0.0623,0.0101,0.0220,0.0191,0.0682,0.0063,0.1250,0.1042,0.0131,0.0551,0.0748,0.3898,40138,false
Bono Corporativo KLM-0531,MILA,2024-04,Mixto,0.0733,0.0136,0.0304,0.0512,0.0083,0.0283,0.0046,0.1226,0.1364,0.1062,0.0845,0.2906,152162,true
ETF KLM-0532,BVC,2024-05,Renta Fija,0.0061,0.0529,0.0562,0.0357,0.0623,0.0865,0.0307,0.0996,0.0708,0.0291,0.0713,0.3488,57785,false
Fondo Mutuo KLM-0533,COLCAP,2024-06,Renta Variable,0.0685,0.0316,0.0847,0.0503,0.0483,0.0145,0.1047,0.0609,0.0515,0.0114,0.0158,0.4078,70498,false
Bono Gobierno KLM-0534,BVLIMA,2024-07,Derivados,0.0744,0.0644,0.0680,0.0149,0.0902,0.0828,0.0272,0.0598,0.1043,0.0642,0.0186,0.2812,90275,true
Acción Preferente KLM-0535,MILA,2024-08,Estructurado,0.0518,0.0296,0.0777,0.0831,0.0098,0.0194,0.0793,0.0435,0.0085,0.0628,0.0099,0.4746,194051,false
Warrant KLM-0536,BVC,2024-09,Dividendos,0.0328,0.0522,0.0727,0.0343,0.0560,0.0452,0.0024,0.0517,0.1270,0.1141,0.1125,0.2491,21020,false
ADR KLM-0537,COLCAP,2024-10,Intereses,0.0525,0.0747,0.0626,0.0337,0.0207,0.0511,0.0032,0.1126,0.0722,0.1044,0.0417,0.3206,149429,true
REIT KLM-0538,BVLIMA,2024-11,Capital,0.0059,0.0330,0.0880,0.0376,0.0536,0.0282,0.0881,0.0209,0.0463,0.0447,0.0664,0.4373,166602,false
Fondo Indexado KLM-0539,MILA,2024-12,Mixto,0.0646,0.0620,0.0073,0.0867,0.0487,0.0112,0.0681,0.0657,0.0484,0.1144,0.1413,0.2316,148801,false
Acción NOP-0540,BVC,2024-Q1,Renta Fija,0.0764,0.0754,0.0682,0.0566,0.0409,0.0765,0.0130,0.0669,0.0928,0.0501,0.0829,0.2503,45324,true
Bono Corporativo NOP-0541,COLCAP,2024-Q2,Renta Variable,0.0175,0.0258,0.0520,0.0519,0.0110,0.0472,0.1177,0.1177,0.0476,0.1460,0.0272,0.2884,76779,false
ETF NOP-0542,BVLIMA,2024-Q3,Derivados,0.0023,0.0073,0.0743,0.0682,0.0239,0.0964,0.0398,0.0114,0.0852,0.0871,0.0328,0.4213,158189,false
Fondo Mutuo NOP-0543,MILA,2024-Q4,Estructurado,0.0036,0.0383,0.0357,0.0579,0.0991,0.0787,0.0783,0.0869,0.0072,0.0829,0.0360,0.3454,160092,true
Bono Gobierno NOP-0544,BVC,2023-Q1,Dividendos,0.0327,0.0817,0.0140,0.0709,0.0541,0.0144,0.0673,0.1012,0.0435,0.0741,0.0787,0.3174,91316,false
Acción Preferente NOP-0545,COLCAP,2023-Q2,Intereses,0.0715,0.0137,0.0525,0.0819,0.0175,0.0378,0.1068,0.0313,0.0483,0.1000,0.0160,0.3727,72107,false
Warrant NOP-0546,BVLIMA,2023-Q3,Capital,0.0563,0.0219,0.0196,0.0462,0.0372,0.1098,0.1047,0.0483,0.0872,0.0916,0.0034,0.3238,84843,true
ADR NOP-0547,MILA,2023-Q4,Mixto,0.0149,0.0790,0.0444,0.0083,0.0939,0.0053,0.0656,0.0005,0.0511,0.0939,0.0212,0.4719,66680,false
REIT NOP-0548,BVC,2024-01,Renta Fija,0.0078,0.0501,0.0557,0.0099,0.0913,0.0521,0.0329,0.1126,0.0626,0.0132,0.0107,0.4511,60825,false
Fondo Indexado NOP-0549,COLCAP,2024-02,Renta Variable,0.0014,0.0715,0.0308,0.0472,0.0986,0.0318,0.0400,0.0248,0.0816,0.0901,0.0765,0.3557,106381,true
Acción QRS-0550,BVLIMA,2024-03,Derivados,0.0204,0.0642,0.0261,0.0371,0.0714,0.0504,0.0798,0.0716,0.0148,0.1066,0.1482,0.2594,26691,false
Bono Corporativo QRS-0551,MILA,2024-04,Estructurado,0.0101,0.0448,0.0251,0.0321,0.1035,0.0262,0.1096,0.1035,0.0169,0.1447,0.0730,0.2605,83331,false
ETF QRS-0552,BVC,2024-05,Dividendos,0.0190,0.0377,0.0685,0.0015,0.0742,0.0901,0.0255,0.1008,0.0091,0.0657,0.0780,0.3799,88452,true
Fondo Mutuo QRS-0553,COLCAP,2024-06,Intereses,0.0028,0.0185,0.0341,0.0050,0.0718,0.0524,0.0423,0.1042,0.0167,0.1387,0.0668,0.3967,15618,false
Bono Gobierno QRS-0554,BVLIMA,2024-07,Capital,0.0129,0.0680,0.0805,0.0320,0.0128,0.0661,0.1023,0.0707,0.0299,0.0020,0.0070,0.4658,170825,false
Acción Preferente QRS-0555,MILA,2024-08,Mixto,0.0157,0.0491,0.0032,0.0483,0.0148,0.0870,0.0799,0.0843,0.0369,0.0161,0.1398,0.3749,65007,true
Warrant QRS-0556,BVC,2024-09,Renta Fija,0.0116,0.0079,0.0638,0.0642,0.0702,0.0875,0.0825,0.0028,0.0660,0.0601,0.0954,0.3380,144477,false
ADR QRS-0557,COLCAP,2024-10,Renta Variable,0.0658,0.0668,0.0618,0.0656,0.0855,0.0401,0.0156,0.0373,0.1096,0.0505,0.0737,0.2777,109589,false
REIT QRS-0558,BVLIMA,2024-11,Derivados,0.0049,0.0396,0.0172,0.0194,0.0362,0.0322,0.0210,0.1297,0.1279,0.0736,0.0646,0.3837,136388,true
Fondo Indexado QRS-0559,MILA,2024-12,Estructurado,0.0142,0.0736,0.0779,0.0190,0.0365,0.0044,0.0126,0.0441,0.0385,0.0951,0.1034,0.4307,97030,false
Acción TUV-0560,BVC,2024-Q1,Dividendos,0.0109,0.0108,0.0155,0.0439,0.0684,0.0428,0.0130,0.1077,0.0191,0.0781,0.0668,0.4730,115986,false
Bono Corporativo TUV-0561,COLCAP,2024-Q2,Intereses,0.0076,0.0041,0.0537,0.0031,0.0723,0.0684,0.0928,0.1125,0.1333,0.0719,0.0515,0.2788,40039,true
ETF TUV-0562,BVLIMA,2024-Q3,Capital,0.0083,0.0134,0.0860,0.0767,0.0707,0.0423,0.1005,0.0246,0.0494,0.1373,0.0486,0.2922,187870,false
Fondo Mutuo TUV-0563,MILA,2024-Q4,Mixto,0.0353,0.0245,0.0699,0.0365,0.0740,0.0116,0.0835,0.0956,0.1284,0.0658,0.0245,0.3004,47728,false
Bono Gobierno TUV-0564,BVC,2023-Q1,Renta Fija,0.0607,0.0655,0.0337,0.0754,0.0602,0.0473,0.0263,0.0877,0.0188,0.1203,0.0981,0.2560,120575,true
Acción Preferente TUV-0565,COLCAP,2023-Q2,Renta Variable,0.0728,0.0246,0.0125,0.0363,0.0833,0.0543,0.0451,0.0643,0.1158,0.0954,0.0302,0.3154,59537,false
Warrant TUV-0566,BVLIMA,2023-Q3,Derivados,0.0116,0.0686,0.0843,0.0363,0.0222,0.0991,0.0596,0.0433,0.0828,0.0663,0.0870,0.2889,97803,false
ADR TUV-0567,MILA,2023-Q4,Estructurado,0.0706,0.0220,0.0790,0.0508,0.0594,0.0531,0.0395,0.0447,0.0505,0.0833,0.0366,0.3605,43021,true
REIT TUV-0568,BVC,2024-01,Dividendos,0.0264,0.0319,0.0202,0.0500,0.0379,0.0256,0.0280,0.1033,0.0595,0.0967,0.0190,0.4515,88255,false
Fondo Indexado TUV-0569,COLCAP,2024-02,Intereses,0.0399,0.0386,0.0421,0.0091,0.0471,0.0438,0.0400,0.0250,0.0256,0.0832,0.0880,0.4676,39060,false
Acción WXY-0570,BVLIMA,2024-03,Capital,0.0090,0.0854,0.0289,0.0665,0.0345,0.0166,0.1011,0.0047,0.0846,0.0653,0.0701,0.3833,182185,true
Bono Corporativo WXY-0571,MILA,2024-04,Mixto,0.0393,0.0298,0.0371,0.0695,0.0758,0.0422,0.0602,0.0805,0.0686,0.0901,0.0226,0.3343,119748,false
ETF WXY-0572,BVC,2024-05,Renta Fija,0.0186,0.0404,0.0396,0.0814,0.0668,0.0968,0.0296,0.0017,0.0354,0.1217,0.1169,0.3011,19258,false
Fondo Mutuo WXY-0573,COLCAP,2024-06,Renta Variable,0.0540,0.0593,0.0502,0.0116,0.0156,0.0596,0.0267,0.0844,0.1307,0.1030,0.0105,0.3444,106886,true
Bono Gobierno WXY-0574,BVLIMA,2024-07,Derivados,0.0334,0.0146,0.0886,0.0232,0.0030,0.0315,0.0245,0.0111,0.0704,0.0472,0.0597,0.5428,118175,false
Acción Preferente WXY-0575,MILA,2024-08,Estructurado,0.0226,0.0145,0.0529,0.0281,0.0573,0.0513,0.1177,0.0225,0.0137,0.1183,0.1116,0.3395,26480,false
Warrant WXY-0576,BVC,2024-09,Dividendos,0.0580,0.0264,0.0567,0.0274,0.0589,0.0841,0.0134,0.0232,0.1254,0.1371,0.1386,0.2008,145858,true
